MJD,V-mag,SE,air mass
58019.12751,12.0831,0.0016,1.028
58019.12799,12.0834,0.0016,1.028
58019.12846,12.0906,0.0011,1.027
58019.12894,12.0869,0.0012,1.027
58019.12942,12.0855,0.0013,1.027
58019.12990,12.0797,0.0014,1.027
58019.13038,12.0873,0.0015,1.027
58019.13086,12.0878,0.0016,1.027
58019.13134,12.0748,0.0016,1.027
58019.13183,12.0877,0.0016,1.027
58019.13230,12.0869,0.0017,1.027
58019.13279,12.0815,0.0017,1.027
58019.13328,12.0898,0.0017,1.027
58019.13375,12.0836,0.0017,1.027
58019.13424,12.0844,0.0016,1.026
58019.13472,12.0884,0.0016,1.026
58019.13520,12.0747,0.0015,1.026
58019.13568,12.0868,0.0014,1.026
58019.13617,12.0829,0.0014,1.026
58019.13664,12.0846,0.0013,1.026
58019.13713,12.0854,0.0012,1.026
58019.13762,12.0828,0.0012,1.026
58019.13810,12.0914,0.0011,1.026
58019.13859,12.0834,0.0011,1.026
58019.13906,12.0845,0.0011,1.026
58019.13956,12.0813,0.0011,1.026
58019.14005,12.0945,0.0012,1.026
58019.14053,12.0835,0.0012,1.026
58019.14102,12.0812,0.0013,1.026
58019.14150,12.0921,0.0013,1.026
58019.14198,12.0898,0.0013,1.027
58019.14247,12.0828,0.0013,1.027
58019.14295,12.0825,0.0013,1.027
58019.14344,12.0902,0.0012,1.027
58019.14391,12.0872,0.0012,1.027
58019.14440,12.0856,0.0011,1.027
58019.14488,12.0824,0.0011,1.027
58019.14536,12.0842,0.0010,1.027
58019.14584,12.0901,0.0010,1.027
58019.14633,12.0903,0.0010,1.027
58019.14682,12.0859,0.0009,1.027
58019.14730,12.0870,0.0009,1.027
58019.14778,12.0889,0.0009,1.028
58019.14828,12.0845,0.0009,1.028
58019.14875,12.0830,0.0009,1.028
58019.14924,12.0844,0.0009,1.028
58019.14973,12.0848,0.0008,1.028
58019.15022,12.0802,0.0008,1.028
58019.15068,12.0826,0.0008,1.028
58019.15117,12.0830,0.0007,1.029
58019.15166,12.0788,0.0007,1.029
58019.15214,12.0865,0.0007,1.029
58019.15264,12.0898,0.0007,1.029
58019.15313,12.0861,0.0008,1.029
58019.15361,12.0828,0.0008,1.029
58019.15409,12.0843,0.0008,1.030
58019.15457,12.0873,0.0009,1.030
58019.15506,12.0906,0.0009,1.030
58019.15554,12.0862,0.0010,1.030
58019.15603,12.0891,0.0011,1.031
58019.15650,12.0869,0.0013,1.031
58019.15699,12.0843,0.0014,1.031
58019.15748,12.0869,0.0015,1.031
58019.15796,12.0871,0.0016,1.031
58019.15844,12.0828,0.0017,1.032
58019.15892,12.0838,0.0017,1.032
58019.15942,12.0792,0.0017,1.032
58019.15990,12.0875,0.0017,1.033
58019.16038,12.0830,0.0017,1.033
58019.16087,12.0835,0.0016,1.033
58019.16134,12.0892,0.0015,1.033
58019.16183,12.0835,0.0015,1.034
58019.16231,12.0836,0.0014,1.034
58019.16279,12.0885,0.0014,1.034
58019.16328,12.0804,0.0015,1.035
58019.16376,12.0862,0.0015,1.035
58019.16425,12.0972,0.0015,1.035
58019.16472,12.0812,0.0015,1.036
58019.16521,12.0831,0.0015,1.036
58019.16568,12.0951,0.0015,1.036
58019.16617,12.0839,0.0015,1.037
58019.16666,12.0868,0.0015,1.037
58019.16714,12.0886,0.0014,1.037
58019.16763,12.0826,0.0013,1.038
58019.16810,12.0871,0.0013,1.038
58019.16859,12.0975,0.0012,1.038
58019.16909,12.0843,0.0012,1.039
58019.16957,12.0839,0.0012,1.039
58019.17006,12.0869,0.0012,1.040
58019.17053,12.0820,0.0012,1.040
58019.17102,12.0829,0.0012,1.040
58019.17150,12.0907,0.0012,1.041
58019.17199,12.0772,0.0012,1.041
58019.17248,12.0858,0.0012,1.042
58019.17296,12.0852,0.0012,1.042
58019.17344,12.0864,0.0011,1.043
58019.17391,12.0826,0.0012,1.043
58019.17440,12.0833,0.0012,1.044
58019.17490,12.0841,0.0012,1.044
58019.17538,12.0916,0.0012,1.044
58019.17584,12.0878,0.0013,1.045
58019.17632,12.0893,0.0013,1.045
58019.17682,12.0810,0.0014,1.046
58019.17730,12.0882,0.0014,1.046
58019.17779,12.0831,0.0014,1.047
58019.17828,12.0873,0.0015,1.047
58019.17876,12.0886,0.0015,1.048
58019.17924,12.0854,0.0016,1.048
58019.17972,12.0855,0.0016,1.049
58019.18021,12.0837,0.0017,1.050
58019.18071,12.0881,0.0017,1.050
58019.18118,12.0840,0.0018,1.051
58019.18167,12.0849,0.0019,1.051
58019.18214,12.0824,0.0020,1.052
58019.18263,12.0880,0.0021,1.052
58019.18311,12.0929,0.0021,1.053
58019.18360,12.0832,0.0021,1.053
58019.18409,12.0791,0.0021,1.054
58019.18456,12.0823,0.0021,1.055
58019.18503,12.0871,0.0020,1.055
58019.18551,12.0834,0.0019,1.056
58019.18601,12.0814,0.0017,1.056
58019.18648,12.0868,0.0016,1.057
58019.18697,12.0807,0.0014,1.058
58019.18744,12.0729,0.0013,1.058
58019.18793,12.0866,0.0012,1.059
58019.18840,12.0879,0.0012,1.060
58019.18888,12.0884,0.0012,1.060
58019.18938,12.0877,0.0012,1.061
58019.18986,12.0888,0.0012,1.062
58019.19035,12.0894,0.0012,1.062
58019.19083,12.0814,0.0013,1.063
58019.19132,12.0858,0.0013,1.064
58019.19181,12.0899,0.0013,1.064
58019.19228,12.0864,0.0013,1.065
58019.19277,12.0802,0.0013,1.066
58019.19324,12.0848,0.0012,1.066
58019.19373,12.0878,0.0012,1.067
58019.19420,12.0828,0.0011,1.068
58019.19469,12.0840,0.0010,1.069
58019.19519,12.0879,0.0010,1.069
58019.19567,12.0912,0.0009,1.070
58019.19616,12.0878,0.0009,1.071
58019.19664,12.0817,0.0009,1.072
58019.19712,12.0863,0.0009,1.072
58019.19759,12.0856,0.0009,1.073
58019.19808,12.0839,0.0010,1.074
58019.19856,12.0896,0.0011,1.075
58019.19905,12.0934,0.0012,1.076
58019.19954,12.0960,0.0013,1.076
58019.20001,12.0874,0.0013,1.077
58019.20050,12.0829,0.0014,1.078
58019.20098,12.0818,0.0014,1.079
58019.20146,12.0874,0.0014,1.080
58019.20194,12.0913,0.0014,1.081
58019.20242,12.0900,0.0014,1.081
58019.20289,12.0838,0.0014,1.082
58019.20338,12.0860,0.0014,1.083
58019.20385,12.0748,0.0013,1.084
58019.20433,12.0894,0.0013,1.085
58019.20483,12.0821,0.0013,1.086
58019.20531,12.0783,0.0013,1.087
58019.20580,12.0854,0.0013,1.088
58019.20628,12.0878,0.0013,1.089
58019.20677,12.0857,0.0013,1.089
58019.20726,12.0840,0.0013,1.090
58019.20774,12.0825,0.0013,1.091
58019.20823,12.0930,0.0013,1.092
58019.20872,12.0829,0.0013,1.093
58019.20920,12.0859,0.0013,1.094
58019.20968,12.0903,0.0014,1.095
58019.21016,12.0847,0.0014,1.096
58019.21065,12.0891,0.0014,1.097
58019.21113,12.0847,0.0014,1.098
58019.21162,12.0865,0.0015,1.099
58019.21211,12.0862,0.0015,1.100
58019.21259,12.0810,0.0015,1.101
58019.21308,12.0834,0.0015,1.102
58019.21356,12.0807,0.0015,1.103
58019.21404,12.0837,0.0015,1.104
58019.21453,12.0911,0.0015,1.105
58019.21501,12.0871,0.0015,1.106
58019.21550,12.0842,0.0015,1.107
58019.21598,12.0846,0.0015,1.109
58019.21646,12.0951,0.0015,1.110
58019.21693,12.0857,0.0015,1.111
58019.21742,12.0936,0.0015,1.112
58019.21791,12.0805,0.0015,1.113
58019.21838,12.0867,0.0014,1.114
58019.21887,12.0816,0.0014,1.115
58019.21935,12.0884,0.0015,1.116
58019.21984,12.0798,0.0015,1.117
58019.22031,12.0796,0.0015,1.119
58019.22080,12.0967,0.0016,1.120
58019.22128,12.0822,0.0016,1.121
58019.22177,12.0852,0.0016,1.122
58019.22225,12.0907,0.0016,1.123
58019.22273,12.0890,0.0016,1.124
58019.22322,12.0857,0.0016,1.126
58019.22369,12.0870,0.0016,1.127
58019.22417,12.0801,0.0016,1.128
58019.22463,12.0901,0.0016,1.129
58019.22513,12.0858,0.0016,1.130
58019.22561,12.0907,0.0016,1.132
58019.22609,12.0849,0.0016,1.133
58019.22657,12.0845,0.0016,1.134
58019.22705,12.0856,0.0016,1.135
58019.22753,12.0824,0.0016,1.137
58019.22802,12.0789,0.0016,1.138
58019.22851,12.0812,0.0016,1.139
58019.22899,12.0899,0.0016,1.141
58019.22947,12.0905,0.0017,1.142
58019.22995,12.0836,0.0017,1.143
58019.23044,12.0829,0.0017,1.145
58019.23093,12.1004,0.0017,1.146
58019.23142,12.0952,0.0017,1.147
58019.23191,12.0876,0.0017,1.149
58019.23238,12.0828,0.0017,1.150
58019.23286,12.0848,0.0017,1.151
58019.23333,12.0861,0.0016,1.153
58019.23383,12.0869,0.0015,1.154
58019.23431,12.0848,0.0014,1.156
58019.23479,12.0848,0.0013,1.157
58019.23527,12.0848,0.0012,1.158
58019.23575,12.0935,0.0011,1.160
58019.23624,12.0901,0.0010,1.161
58019.23672,12.0891,0.0010,1.163
58019.23721,12.0822,0.0010,1.164
58019.23770,12.0869,0.0010,1.166
58019.23818,12.0881,0.0011,1.167
58019.23866,12.0842,0.0012,1.169
58019.23914,12.0864,0.0013,1.170
58019.23962,12.0877,0.0014,1.172
58019.24010,12.0860,0.0015,1.173
58019.24059,12.0843,0.0015,1.175
58019.24106,12.0871,0.0016,1.176
58019.24155,12.0850,0.0016,1.178
58019.24204,12.0899,0.0017,1.179
58019.24251,12.0849,0.0017,1.181
58019.24300,12.0765,0.0017,1.183
58019.24347,12.0792,0.0017,1.184
58019.24396,12.0820,0.0017,1.186
58019.24444,12.0886,0.0017,1.187
58019.24493,12.0871,0.0018,1.189
58019.24542,12.0910,0.0018,1.191
58019.24590,12.0890,0.0018,1.192
58019.24639,12.0826,0.0018,1.194
58019.24688,12.0964,0.0018,1.196
58019.24736,12.0830,0.0018,1.197
58019.24786,12.0817,0.0018,1.199
58019.24833,12.0889,0.0018,1.201
58019.24882,12.0861,0.0019,1.203
58019.24929,12.0848,0.0020,1.204
58019.24978,12.0902,0.0020,1.206
58019.25028,12.0924,0.0020,1.208
58019.25076,12.0866,0.0021,1.210
58019.25125,12.0925,0.0022,1.211
58019.25174,12.0926,0.0022,1.213
58019.25221,12.0827,0.0023,1.215
58019.25270,12.0869,0.0024,1.217
58019.25318,12.0932,0.0024,1.219
58019.25367,12.0880,0.0024,1.220
58019.25414,12.0913,0.0024,1.222
58019.25463,12.0923,0.0024,1.224
58019.25512,12.0952,0.0023,1.226
58019.25560,12.0836,0.0023,1.228
58019.25609,12.0858,0.0022,1.230
58019.25656,12.0891,0.0020,1.232
58019.25704,12.0892,0.0019,1.234
58019.25751,12.0790,0.0017,1.236
58019.25800,12.0832,0.0016,1.237
58019.25848,12.0888,0.0015,1.239
58019.25896,12.0812,0.0014,1.241
58019.25943,12.0946,0.0013,1.243
58019.25992,12.0861,0.0012,1.245
58019.26038,12.0951,0.0011,1.247
58019.26087,12.0869,0.0011,1.249
58019.26135,12.0815,0.0011,1.251
58019.26184,12.0799,0.0011,1.253
58019.26231,12.0833,0.0012,1.255
58019.26280,12.0780,0.0013,1.257
58019.26330,12.0914,0.0015,1.260
58019.26377,12.0945,0.0017,1.262
58019.26426,12.0980,0.0018,1.264
58019.26473,12.0795,0.0019,1.266
58019.26522,12.0787,0.0021,1.268
58019.26569,12.0814,0.0022,1.270
58019.26617,12.0841,0.0023,1.272
58019.26666,12.0824,0.0023,1.274
58019.26714,12.0890,0.0024,1.277
58019.26762,12.0882,0.0024,1.279
58019.26810,12.0944,0.0024,1.281
58019.26859,12.0889,0.0024,1.283
58019.26907,12.0818,0.0024,1.286
58019.26956,12.0937,0.0023,1.288
58019.27005,12.0810,0.0023,1.290
58019.27053,12.0828,0.0022,1.292
58019.27101,12.0971,0.0021,1.295
58019.27148,12.0798,0.0021,1.297
58019.27197,12.0865,0.0020,1.299
58019.27244,12.0966,0.0020,1.302
58019.27293,12.0802,0.0019,1.304
58019.27340,12.0846,0.0019,1.306
58019.27388,12.0829,0.0019,1.309
58019.27436,12.0916,0.0018,1.311
58019.27485,12.0780,0.0018,1.314
58019.27534,12.0897,0.0018,1.316
58019.27582,12.0958,0.0018,1.318
