JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer_Code,Comment Code(s),Comp_Star_1,Comp_Star_2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458484.53264,1.0,,,Vis.,KMY,K,012,164,S.Otero chart 2001,,,,Z,,,,ALF ORI,,STD,,,,
2458484.7594,2.677,0.001,,B,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44.1N/121.3W|INDEX=BV|DELTA=0.849|K_B=0.31|KK_BV=-0.033|TB_BV=0.083|CREFMAG=5.039|PROG=TJC_PEP_6.3|COMMENT=16 BIT OVERFLOWS CORRECTED|,1,1.27,Z,-3.209,-0.982,,ALF ORI,AAVSO,STD,,,,
2458484.7599,0.871,0.003,,V,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44.1N/121.3W|INDEX=BV|DELTA=0.849|K_V=0.18|TV_BV=-0.033|CREFMAG=4.082|PROG=TJC_PEP_6.3|COMMENT=16 BIT OVERFLOWS CORRECTED|,1,1.26,Z,-4.070,-2.180,,ALF ORI,AAVSO,STD,,,,
2458485.26181,0.4,,,Vis.,BFU,B,0.1,2.1,AAVSO Finder Chart,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458485.4129,0.944,0.035,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.688,,ALF ORI,AAVSO,STD,,,,
2458486.3,0.8,,,Vis.,SYU,,04,09,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458486.30139,0.3,,,Vis.,GGC,,Bet Ori,Alp CMi,Old AAVSO,"""Naked eye, limiting magnitude 4.3""",,,Z,,,,ALF ORI,,STD,,,,
2458486.35625,0.6,,,Vis.,MVO,,01,04,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2458486.4104,0.919,0.007,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.764,,ALF ORI,AAVSO,STD,,,,
2458486.4124,0.936,0.005,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.770,,ALF ORI,AAVSO,STD,,,,
2458486.4208,0.7,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458486.5028,0.8,,,Vis.,AAX,K,01,09,ATLAS,BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2458486.79861,1.1,,,Vis.,BBA,UB,0.9,1.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
